Solution,Round,Accuracy distributed,Accuracy centralized
fedadagrad,1,0.0105,0.1
fedadagrad,1,0.0087,0.1
fedadagrad,1,0.0108,0.1
fedadagrad,1,0.0104,0.1
fedadagrad,1,0.01,0.1
fedadagrad,1,0.0086,0.1
fedadagrad,1,0.0098,0.1
fedadagrad,1,0.0111,0.1
fedadagrad,1,0.0099,0.1
fedadagrad,1,0.0102,0.1
fedadagrad,2,0.0069,0.0869
fedadagrad,2,0.0084,0.0869
fedadagrad,2,0.0086,0.0869
fedadagrad,2,0.0091,0.0869
fedadagrad,2,0.0094,0.0869
fedadagrad,2,0.009,0.0869
fedadagrad,2,0.0092,0.0869
fedadagrad,2,0.009,0.0869
fedadagrad,2,0.0084,0.0869
fedadagrad,2,0.0089,0.0869
fedadagrad,3,0.0107,0.1059
fedadagrad,3,0.0098,0.1059
fedadagrad,3,0.0083,0.1059
fedadagrad,3,0.0124,0.1059
fedadagrad,3,0.0115,0.1059
fedadagrad,3,0.0109,0.1059
fedadagrad,3,0.0098,0.1059
fedadagrad,3,0.0112,0.1059
fedadagrad,3,0.0101,0.1059
fedadagrad,3,0.0112,0.1059
fedadagrad,4,0.0154,0.1547
fedadagrad,4,0.0156,0.1547
fedadagrad,4,0.0182,0.1547
fedadagrad,4,0.0154,0.1547
fedadagrad,4,0.0138,0.1547
fedadagrad,4,0.0147,0.1547
fedadagrad,4,0.0157,0.1547
fedadagrad,4,0.0148,0.1547
fedadagrad,4,0.0164,0.1547
fedadagrad,4,0.0147,0.1547
fedadagrad,5,0.0216,0.1994
fedadagrad,5,0.0188,0.1994
fedadagrad,5,0.0209,0.1994
fedadagrad,5,0.0192,0.1994
fedadagrad,5,0.0181,0.1994
fedadagrad,5,0.0182,0.1994
fedadagrad,5,0.0221,0.1994
fedadagrad,5,0.0204,0.1994
fedadagrad,5,0.0191,0.1994
fedadagrad,5,0.021,0.1994
fedadagrad,6,0.026,0.2393
fedadagrad,6,0.0245,0.2393
fedadagrad,6,0.0222,0.2393
fedadagrad,6,0.0255,0.2393
fedadagrad,6,0.025,0.2393
fedadagrad,6,0.0223,0.2393
fedadagrad,6,0.0241,0.2393
fedadagrad,6,0.0233,0.2393
fedadagrad,6,0.0221,0.2393
fedadagrad,6,0.0243,0.2393
fedadagrad,7,0.0199,0.2081
fedadagrad,7,0.021,0.2081
fedadagrad,7,0.02,0.2081
fedadagrad,7,0.0206,0.2081
fedadagrad,7,0.0194,0.2081
fedadagrad,7,0.0214,0.2081
fedadagrad,7,0.0207,0.2081
fedadagrad,7,0.022,0.2081
fedadagrad,7,0.0214,0.2081
fedadagrad,7,0.0217,0.2081
fedadagrad,8,0.0181,0.188
fedadagrad,8,0.0187,0.188
fedadagrad,8,0.0161,0.188
fedadagrad,8,0.0185,0.188
fedadagrad,8,0.0183,0.188
fedadagrad,8,0.0188,0.188
fedadagrad,8,0.021,0.188
fedadagrad,8,0.0213,0.188
fedadagrad,8,0.0189,0.188
fedadagrad,8,0.0183,0.188
fedadagrad,9,0.0233,0.2385
fedadagrad,9,0.023,0.2385
fedadagrad,9,0.0248,0.2385
fedadagrad,9,0.0251,0.2385
fedadagrad,9,0.0211,0.2385
fedadagrad,9,0.0258,0.2385
fedadagrad,9,0.023,0.2385
fedadagrad,9,0.0249,0.2385
fedadagrad,9,0.0234,0.2385
fedadagrad,9,0.0241,0.2385
fedadagrad,10,0.0264,0.2518
fedadagrad,10,0.0241,0.2518
fedadagrad,10,0.0249,0.2518
fedadagrad,10,0.0261,0.2518
fedadagrad,10,0.0274,0.2518
fedadagrad,10,0.0242,0.2518
fedadagrad,10,0.0252,0.2518
fedadagrad,10,0.0236,0.2518
fedadagrad,10,0.0256,0.2518
fedadagrad,10,0.0243,0.2518
