Solution,Round,Accuracy distributed,Accuracy centralized
fedavg,1,0.015666666666666666,0.1025
fedavg,1,0.019333333333333334,0.1025
fedavg,1,0.015333333333333332,0.1025
fedavg,1,0.015166666666666667,0.1025
fedavg,1,0.019,0.1025
fedavg,1,0.0155,0.1025
fedavg,2,0.016,0.105
fedavg,2,0.0165,0.105
fedavg,2,0.015333333333333332,0.105
fedavg,2,0.016,0.105
fedavg,2,0.019666666666666666,0.105
fedavg,2,0.0195,0.105
fedavg,3,0.016,0.1071
fedavg,3,0.017166666666666667,0.1071
fedavg,3,0.020166666666666666,0.1071
fedavg,3,0.016666666666666666,0.1071
fedavg,3,0.015666666666666666,0.1071
fedavg,3,0.019333333333333334,0.1071
fedavg,4,0.02,0.1098
fedavg,4,0.015666666666666666,0.1098
fedavg,4,0.017333333333333333,0.1098
fedavg,4,0.01633333333333333,0.1098
fedavg,4,0.019833333333333335,0.1098
fedavg,4,0.018,0.1098
fedavg,5,0.017333333333333333,0.113
fedavg,5,0.02033333333333333,0.113
fedavg,5,0.016666666666666666,0.113
fedavg,5,0.020166666666666666,0.113
fedavg,5,0.018833333333333334,0.113
fedavg,5,0.017,0.113
fedavg,6,0.023666666666666666,0.1484
fedavg,6,0.0235,0.1484
fedavg,6,0.025166666666666667,0.1484
fedavg,6,0.027,0.1484
fedavg,6,0.0235,0.1484
fedavg,6,0.022333333333333334,0.1484
fedavg,7,0.030833333333333334,0.2028
fedavg,7,0.033,0.2028
fedavg,7,0.03216666666666667,0.2028
fedavg,7,0.033,0.2028
fedavg,7,0.034333333333333334,0.2028
fedavg,7,0.033166666666666664,0.2028
fedavg,8,0.033,0.2134
fedavg,8,0.035333333333333335,0.2134
fedavg,8,0.035,0.2134
fedavg,8,0.035333333333333335,0.2134
fedavg,8,0.036,0.2134
fedavg,8,0.036,0.2134
fedavg,9,0.0395,0.246
fedavg,9,0.041833333333333333,0.246
fedavg,9,0.03983333333333333,0.246
fedavg,9,0.041,0.246
fedavg,9,0.044,0.246
fedavg,9,0.03983333333333333,0.246
fedavg,10,0.04816666666666667,0.2753
fedavg,10,0.043,0.2753
fedavg,10,0.047,0.2753
fedavg,10,0.0465,0.2753
fedavg,10,0.046,0.2753
fedavg,10,0.04783333333333333,0.2753
